replicate,group,seed,phase2_B,phase2_L,phase2_S,phase2_K
80,treatment,87649919,41.13434167423447,7.647662194705608,0.0225539268568375,24.698309458932613
81,treatment,342590774,42.848548513752974,10.077601922157267,0.1248810301443333,25.720183146003738
82,treatment,338943805,38.00613102858364,8.665401880511991,0.1358208678512447,22.814955444808067
83,treatment,961897664,41.83056563017353,7.887117674856815,0.2198369725492823,25.17372159519114
84,treatment,366263536,40.868751781867054,5.767602504167127,0.1275314997054749,24.51256070809029
85,treatment,908580690,43.22218328608748,8.309728327482965,0.4310306949981405,25.90767281121487
86,treatment,495065658,38.08620478477521,7.059354368826353,0.3065707937622317,22.88132268609476
87,treatment,699707133,40.061008839539895,7.970985546198419,0.0288867391839388,24.0445412154636
88,treatment,457417486,42.04931975644869,6.934387870760741,0.3277459681405539,25.219091994978378
89,treatment,265869961,42.52428825296703,9.4246336831535,0.4951549156225333,25.495994899091425
90,treatment,764229452,42.35710568692331,8.159292101264596,0.3761880958582022,25.44409854061832
91,treatment,969176377,40.94967334879479,8.319827961944878,0.302314941418354,24.574032607341504
92,treatment,263524860,41.999463660273776,6.458600566437655,0.2054162699588044,25.189563901298783
93,treatment,778750903,39.74259708248881,5.1494012300539564,0.0355659155541419,23.80142088785643
94,treatment,716890189,42.23565335469716,7.4063149918349245,0.1940093866484696,25.28925982650869
95,treatment,789006562,40.15719292373748,6.578124990912198,0.0886818643530609,24.082503659243788
96,treatment,449361501,41.53062765061958,6.002805898810286,0.2875491078647519,24.56242384384529
97,treatment,736919598,45.086162533039285,10.395525033036025,0.3689985028739211,27.056525872003466
98,treatment,272241561,39.13906990806225,9.668740144011569,0.4979598830204381,23.466930510836235
99,treatment,96390962,38.270722940418125,7.014354360117058,0.023844119981968,22.94166756740964
100,treatment,447023719,41.96489430739231,6.545986491661668,0.0266686499711264,25.165981196850066
