phase,group,trait,mean,std,cv_percent,n_samples
phase 1 (Baseline),treatment,L_mean,5.757794629239171,0.5172744558931429,8.983899030825542,600
phase 1 (Baseline),treatment,B_mean,37.60441075593105,2.233957792257604,5.940680221681864,600
phase 1 (Baseline),control,L_mean,5.790560954144242,0.5142637470274118,8.881069573395282,600
phase 1 (Baseline),control,B_mean,37.561799442504174,2.67084274749742,7.110529280115234,600
phase 2 (Cooperative Care),treatment,L_mean,8.478038251889162,2.1568449200143016,25.44037731292014,500
phase 2 (Cooperative Care),treatment,B_mean,41.55985505888058,2.0135661792503905,4.844978829684654,500
phase 2 (Cooperative Care),control,L_mean,6.437959738418627,1.1233634272674615,17.44905952989691,500
phase 2 (Cooperative Care),control,B_mean,41.87743068581884,1.542055665249967,3.682307247593776,500
