L_control_mean,L_control_se,L_treatment_mean,L_treatment_se,B_control_mean,B_treatment_mean,delta_L_pct,delta_B_pct,t_stat_L,p_value_L,cohens_d,p_tost_B,decoupling,model,n_replicates,formula
6.474061649375515,0.11004079973343535,8.431978161276387,0.2194852148687442,41.56132195416694,41.74810508656359,30.242475557669916,0.44941576353762147,7.934421807881105,7.657082930627023e-14,1.127749608871886,0.004769045747416323,True,1. SUPERLINEAR (Original),100,B_social = Sub_care × r × (L/L_max)^e × L_max
6.46076919837267,0.1138342712052329,8.202349950553748,0.16393408120015387,41.95134934850376,40.40388451671272,26.956244662318912,-3.688712892011497,8.68243925730803,7.168771404055001e-16,1.2340681795814308,0.9739385202044145,False,2. LINEAR,100,B_social = Sub_care × r × L
6.437346757793692,0.10759824321381677,7.593578381817521,0.1713002264686871,41.77391093514371,39.055571882795604,17.961307158480786,-6.507264920846116,5.687069403437029,2.2944999185264526e-08,0.8083248471845657,0.9999573420023307,False,3. SATURATING,100,B_social = Sub_care × r × L_max × L/(L + K)
6.38212653509264,0.09405064463206524,8.491292269194123,0.2220142857180781,41.96614875316911,41.68377545780884,33.048008724115135,-0.672859682743564,8.703746393895091,6.258632102114492e-16,1.2370966441039963,0.02291881950709862,True,4. WEAK B-COUPLING,100,B_social = Sub_care × r × (L/L_max)^e × L_max × (B/B_ref)^0.2
6.374161332197409,0.12106567062257387,7.356453504611694,0.19829270555626594,41.761091231610834,40.915497565001175,15.410532009167902,-2.02483613735072,4.206823940326563,1.9615869320902252e-05,0.5979319184397033,0.5126509869219527,False,5. NULL CONTROL,100,"B_social = Sub_care × r × random(0,20)"
