replicate,group,seed,phase2_B,phase2_L,phase2_S,phase2_K,phase3_B,phase3_L,phase3_S,phase3_K,phase3_B_max,delta_B,delta_L
25,control,402414364,42.28700822427288,6.005690560991083,0.09561301954172843,25.36023149263726,41.363296668524406,5.544862515133493,0.05514305971373294,24.814701482619764,50.0,-0.9237115557484756,-0.46082804585758996
26,control,822761613,41.954472849959345,5.575210952924153,0.1217108957828556,25.09681477678153,44.34255800985707,6.2419993544531245,0.10861100960971705,26.60820970050829,50.0,2.3880851598977273,0.6667884015289713
27,control,545429118,40.69687346751681,6.2694801714927815,0.05947934617452889,24.43035192567487,41.85052226455051,5.67656374929075,0.06168400251594351,25.1176998376658,50.0,1.1536487970337035,-0.5929164222020313
28,control,443414198,42.84222004848064,6.0106343722327535,0.1816387775566153,25.648761107445626,40.49316646074237,5.52045074921792,0.032070106451148266,24.297931586835503,50.0,-2.3490535877382683,-0.49018362301483354
29,control,450459553,39.92434791246536,6.472667007586064,0.3451204989395126,23.964208265085112,42.054947636707844,7.476251532321265,0.35619906149721464,25.27850203309286,50.0,2.1305997242424866,1.003584524735201
30,control,227238721,44.02287128860249,5.787240428238606,0.1249402209478788,26.4169736748372,42.352644175770635,6.335020556345305,0.1553290920867019,25.40264544780798,50.0,-1.6702271128318529,0.547780128106699
31,control,92135914,40.945678218688116,4.99772166639104,0.029826132048339525,24.110452611645275,40.444710829845846,5.796707906071892,0.17201449544430528,24.264433478507385,50.0,-0.5009673888422697,0.7989862396808514
32,control,554584786,38.98000176088205,5.678266915036051,0.15922860694943256,23.371327361489634,38.83809837744987,6.0051052211151825,0.0740387607752032,23.252881921152962,50.0,-0.14190338343217945,0.32683830607913134
33,control,887889843,38.762357522619716,5.296342725049664,0.048846965679737536,23.208070236653604,42.59708909225383,6.4171490836974066,0.11071228027450408,25.560243516625306,50.0,3.8347315696341155,1.1208063586477426
34,control,63817255,39.90062808308753,5.974389856171014,0.1668770592207096,23.928937937636576,41.64515553757765,4.892862221069298,0.025153763057317945,24.899497074533638,50.0,1.7445274544901181,-1.0815276351017156
35,control,858291293,44.03906727456562,6.3907446902299805,0.026815892390311454,26.419142224753973,37.573568622766395,6.944053635171538,0.041745222580963304,22.50869025456513,50.0,-6.465498651799223,0.5533089449415574
36,control,827631171,42.72944943527789,5.41615727874655,0.0740482229201655,25.559784272787407,42.9467030768918,7.645851814989501,0.27030842872568767,25.809129487732854,50.0,0.21725364161390814,2.2296945362429508
37,control,276759694,43.78168745722595,10.104010300024477,0.305233575558134,26.281125967088986,42.67671241076331,6.2828712991119575,0.04024359042005671,25.580971899636513,50.0,-1.1049750464626413,-3.8211390009125195
38,control,165229079,42.506911279186696,6.8296494514683035,0.281413775661271,25.51085640474804,41.19983481883412,5.155636541673133,0.10524819010914163,24.257907725715473,50.0,-1.307076460352576,-1.6740129097951701
39,control,700522966,40.80018316997094,5.193736071897659,0.026991904798534427,24.429974445784072,42.46074045903134,7.602510998202496,0.2490124996448028,25.50564956959208,50.0,1.6605572890603995,2.4087749263048375
40,control,354525967,42.86176967818341,5.314028827646249,0.08745088617189374,25.69601456334293,43.846077545879645,5.332437771321887,0.08775289483590377,26.20971378458989,50.0,0.9843078676962378,0.018408943675638056
41,control,67920001,40.33221221954507,5.705870673970766,0.05377105086664424,24.21212863665889,41.46241614686206,7.014779384051025,0.342079386177242,24.894341907809554,50.0,1.130203927316991,1.3089087100802583
42,control,970698024,41.351470181172616,6.04133766742435,0.15530761077829625,24.78728818863151,41.54615791094884,7.626059080540261,0.4543430702605583,24.937895586891916,50.0,0.19468772977622706,1.5847214131159113
43,control,445687486,40.753804267305476,5.695451436900449,0.04138900536979513,24.565378381794194,42.140485830044526,5.769630381254741,0.06192397292052587,25.415383610012935,50.0,1.3866815627390494,0.07417894435429151
44,control,893121121,40.46702567695723,6.329423715611332,0.048595010739995545,24.29538435535136,39.539955269234206,5.95137877591996,0.14457871066485894,23.738351494769194,50.0,-0.9270704077230221,-0.3780449396913719
45,control,677919011,40.56537275752846,5.012651603572175,0.05222248734665061,23.953690521623695,41.262901997212474,5.944345081057706,0.25875875049090663,24.41761353090614,50.0,0.697529239684016,0.9316934774855303
46,control,778383496,39.78408334274506,6.467102787952884,0.33104085018677754,23.86053658639865,42.04395934319551,6.568059245294931,0.06651579973710674,25.294228795880503,50.0,2.259876000450447,0.10095645734204695
47,control,759899441,41.596072650182975,7.775129747275368,0.22873948464723964,24.93260322705833,43.19650123863334,5.449298173615932,0.05878153574683468,25.91028294232045,50.0,1.600428588450363,-2.3258315736594364
48,control,194638707,43.4728830163251,8.878631552157055,0.09624251663385845,26.07099859002697,40.55851941895759,6.062009116028905,0.012843364132260136,24.334822778504403,50.0,-2.9143635973675117,-2.8166224361281493
49,control,363906031,43.24729796631232,5.200921368034435,0.14144133224325556,25.31569541339613,44.10523778415157,5.982631107996911,0.1980349503853693,26.48090882692172,50.0,0.8579398178392523,0.7817097399624755
50,control,466721003,40.95558211464579,6.322709459305597,0.03653186634239586,24.601671148996942,43.108728412085796,4.770651252282712,0.01998576370450875,25.175398495597577,50.0,2.153146297440003,-1.5520582070228848
51,control,497791541,42.12824183501395,5.384072257958816,0.009397306026916347,25.23622971329821,43.07008972604658,6.54322941068779,0.033202932148985426,25.84494182609313,50.0,0.94184789103263,1.159157152728974
52,control,43803765,40.87938208544442,5.602645163301018,0.18046341761226004,24.483299398166796,43.97275978358884,5.953239313161975,0.02287924903300518,26.386014479851244,50.0,3.0933776981444225,0.3505941498609575
53,control,546569503,41.379293178328695,5.279070059811357,0.015953687653310348,24.82682858485089,42.46481740387374,5.955991903372089,0.022123144385713864,25.44438177519007,50.0,1.0855242255450435,0.6769218435607325
54,control,154289491,42.69609312635976,5.3300852491884765,0.021853522264467087,25.511962047403067,43.906146961747346,6.40622012728222,0.1841920544973177,26.34724996053909,50.0,1.2100538353875834,1.0761348780937432
55,control,743375907,43.854407015681694,5.391718134942665,0.020643885727549032,26.234944663292133,40.45790450178986,6.372323443486903,0.2837380708485839,24.19015319624326,50.0,-3.396502513891832,0.9806053085442379
56,control,683048953,39.64289504511506,7.562489819434269,0.3048484410753066,23.795512006854363,40.866802369860444,6.069076961611007,0.2149690844016779,24.367682939091893,50.0,1.223907324745383,-1.4934128578232624
57,control,922527839,41.94353203065228,6.92745162631533,0.3811853293177785,25.109303654754846,43.74524797957375,6.555954689234231,0.066262705167252,26.243222665905,50.0,1.8017159489214691,-0.37149693708109854
58,control,744762155,41.78595554530088,5.113107441619246,0.11294131202605229,24.40821048476124,40.00441336470934,5.264912269591778,0.0990023988225943,23.80338827132008,50.0,-1.7815421805915364,0.1518048279725317
59,control,366642656,42.23628276661732,7.020977707320994,0.26396215405473494,25.37876558156864,42.307800349376144,8.125992976336608,0.4084730917775143,25.445696755465644,50.0,0.07151758275882258,1.105015269015614
60,control,967509732,43.40590108890574,4.898223818593737,0.013131124378456299,25.654155797571047,39.690634876111886,7.698560461438401,0.3978771438091247,23.772731333694335,50.0,-3.715266212793857,2.8003366428446643
61,control,905535765,42.257942909264585,5.787335100064874,0.24511112726575585,24.911026174067747,43.413489614557086,7.487619606109009,0.1876726576727873,26.054584648926525,50.0,1.155546705292501,1.7002845060441345
62,control,370459705,40.52213822227722,8.163077641036745,0.3126294699547137,24.330473361703742,42.78244720065952,7.122392563218934,0.10817991941113413,25.66020082074433,50.0,2.260308978382298,-1.0406850778178107
63,control,76343185,43.046865368668286,7.084731048911016,0.1907082406867439,25.862086828489094,41.99588110680239,7.445188000717367,0.28080491436862237,25.210366924197196,50.0,-1.0509842618658922,0.3604569518063512
64,control,469555811,45.1618571605411,6.0544706460966555,0.030733831182856556,27.097547972931352,44.79683928523104,7.220278024643506,0.09794337122267681,26.813413984777203,50.0,-0.36501787531006613,1.1658073785468508
65,control,795679975,40.39693930724794,5.63513704144507,0.010828030778415225,24.231553310221557,43.404001213411135,6.727087934287003,0.08164293536838788,26.06961920498446,50.0,3.0070619061631945,1.0919508928419335
66,control,189471358,40.81826473254754,7.1441613014059655,0.20718085196499839,24.525781588775118,40.68181891448231,7.55606256306825,0.14980731121065893,24.38384234526509,50.0,-0.13644581806523348,0.41190126166228413
67,control,462940571,41.528728891714216,10.083076897477357,0.3064823897530712,24.885055638298205,38.9480943915386,5.1402229206139385,0.02447111618249779,23.307262898382767,50.0,-2.580634500175613,-4.942853976863418
68,control,129921505,43.86130761409555,10.357035491262273,0.44559104444873493,26.2611324545416,43.35965489531843,7.400963333551286,0.26742320431321115,26.032614630218028,50.0,-0.5016527187771231,-2.956072157710987
69,control,686478210,40.96020342098516,6.125972703025052,0.14789793123969464,24.56977107636736,40.737119932742864,5.131282941616579,0.06923121376244502,24.385560992660952,50.0,-0.2230834882422954,-0.9946897614084733
70,control,330196333,42.39562469494775,7.680204903065012,0.09412866005909852,25.439234123434588,44.02170587500991,6.109267398563492,0.14595258382998536,26.40879287116343,50.0,1.6260811800621582,-1.5709375045015195
71,control,226909348,43.6194137725285,5.002521439674492,0.01974960162321679,26.082867401404314,43.511845233648216,6.603487545399354,0.06009025684588573,26.09627447952702,50.0,-0.10756853888028672,1.6009661057248614
72,control,564499893,42.737656612069564,6.786862849949418,0.1621617945893648,25.643236061961485,40.482304107059186,6.633295832940665,0.1141691714961932,24.243851179030614,50.0,-2.2553525050103786,-0.15356701700875242
73,control,669813994,43.611204745366265,6.077959881159789,0.03674487865792602,26.165790639346742,41.37674350978692,6.52292634917837,0.06929194096342067,24.81495592833278,50.0,-2.234461235579346,0.4449664680185812
74,control,940306095,42.524855248107926,7.61258116350272,0.1027224528450346,25.552349816054274,42.86438551466153,8.59929946182519,0.2867904500143626,25.75655422423281,50.0,0.3395302665536022,0.9867182983224696
75,control,437151918,41.823996392959465,5.294281004805727,0.02359856246328847,25.05869371880192,42.28004216841472,8.37000348426766,0.15012627044603596,25.36711379776338,50.0,0.4560457754552516,3.0757224794619322
76,control,160688162,39.319448390082606,5.0639784674409105,0.04450599388309044,23.31125304943035,40.67319492396436,5.649845673143711,0.18844196381887743,24.243644454981876,50.0,1.353746533881754,0.5858672057028
77,control,629764301,44.26962833708276,6.615232697869262,0.044824267182603954,26.604435193613543,42.18421667756118,5.278454197522544,0.037795022712133586,25.11672904916018,50.0,-2.0854116595215757,-1.3367785003467176
78,control,700265101,40.99168262388741,5.60729767939816,0.020253265105983728,24.597811773728765,44.04355471663036,6.673714408815335,0.04502940877276548,26.41105385152052,50.0,3.051872092742954,1.066416729417175
79,control,97226634,42.73299095055173,9.427129902417716,0.34755934599878596,25.631759110259782,42.08989830822915,8.713273522800447,0.1387526024263158,25.251100191173194,50.0,-0.6430926423225785,-0.713856379617269
80,control,312366641,41.01260587044763,5.597833352811118,0.0342044913157562,24.575654139675375,41.48035660236655,5.753789015831339,0.08051468601472389,24.865779657266582,50.0,0.4677507319189189,0.15595566302022146
81,control,767843914,40.80575698615754,6.469889405453921,0.09333890255237144,24.472118540917066,40.14392439257988,8.50344053662018,0.34695637290874254,24.093360592343974,50.0,-0.6618325935776568,2.0335511311662593
82,control,832259801,44.49512958947019,7.1086848916816585,0.42036018358334015,26.685052431269963,41.4253105431755,6.394870281173298,0.3157600663260942,24.792875678719437,50.0,-3.0698190462946897,-0.7138146105083605
83,control,435216667,42.09654139538204,7.005437745018399,0.23283462268501523,25.26286089336503,40.73247953147416,5.387728024203135,0.06252514371893897,24.389388016488578,50.0,-1.364061863907878,-1.617709720815264
84,control,804764357,42.16969401517866,6.346341493202655,0.2066008016911686,25.33464080542008,42.83132016790573,7.3054544270860875,0.09253393061688794,25.69340442736877,50.0,0.6616261527270666,0.9591129338834321
85,control,841691868,41.89014687797049,6.858069924995819,0.26385507806197095,25.154136171259072,43.10724299125682,8.216507235855781,0.24980420745019838,25.86443159544817,50.0,1.2170961132863312,1.358437310859962
86,control,387478378,42.19707501322286,6.688244356352566,0.21968632827956516,25.347407076877097,40.0079700684737,5.391038184398379,0.058148692696214574,24.021112179941113,50.0,-2.189104944749154,-1.297206171954187
87,control,898087625,43.60773462839826,6.080279618079836,0.23616582996133975,26.128561754885354,43.64770202117468,5.1931422278933095,0.026146377181399692,25.92365603045621,50.0,0.039967392776418365,-0.8871373901865267
88,control,288328103,44.279804080532884,6.7463375502256495,0.12503056167332285,26.576303841002616,44.54895539451786,5.963802238025059,0.13513407776872483,26.757786591148026,50.0,0.2691513139849775,-0.7825353122005909
89,control,239557784,43.6338792262938,6.257671725701015,0.048339445957868425,26.155771059173954,40.61366440168658,6.568603538653899,0.3615271743733776,24.28903438307499,50.0,-3.0202148246072227,0.31093181295288375
90,control,682495503,40.82078577845502,6.449788603085716,0.010366809114129202,24.49042593214912,39.52703054181119,5.65479197292272,0.05996641903131386,23.73588165593908,50.0,-1.2937552366438254,-0.7949966301629967
91,control,636761825,43.31196240871772,6.017626566463368,0.09361549261358329,26.003183005582144,44.482357084803,7.516990116980558,0.02940895993394184,26.689541965507225,50.0,1.1703946760852801,1.4993635505171907
92,control,139752483,39.3421035457348,5.1850066714428085,0.06445186650752534,23.393869340596176,40.206717264015595,5.78087680140911,0.023489600428060663,24.115203179415374,50.0,0.8646137182807934,0.5958701299663014
93,control,832736746,45.49129869145656,7.385535004755135,0.46910025218589657,27.263910797769547,44.6233597759651,6.455222221037698,0.35004789036095885,26.471257308303837,50.0,-0.8679389154914574,-0.9303127837174365
94,control,199908202,43.01098196670698,6.939625638752435,0.13665200768999383,25.7898307291826,44.44822647091241,6.953960961716938,0.07266064494515576,26.67386284771516,50.0,1.437244504205431,0.01433532296450224
95,control,7362269,43.65948174740114,7.450953348106277,0.31758177992448433,26.19147588209084,41.96565979269029,6.374146363057413,0.1714683972804462,25.191570502145677,50.0,-1.6938219547108488,-1.0768069850488642
96,control,796842586,40.00856455465691,7.293425010643292,0.014549937886203804,24.01080298632425,42.06942356941527,6.005281615446051,0.18898178092417758,25.241406658964152,50.0,2.060859014758364,-1.288143395197241
97,control,786924377,41.09404753527473,6.121414939210017,0.12174609429628015,24.653365927255837,40.84151793863153,6.188966908165938,0.14263859812260507,24.51753477250776,50.0,-0.25252959664319974,0.06755196895592075
98,control,780364318,40.06465458364724,6.1932272819266085,0.1527924302373204,24.082495635858862,42.685322809062754,5.881224124572548,0.13336161336099434,25.615129943603854,50.0,2.620668225415514,-0.31200315735406026
99,control,664850856,42.04033194760782,7.793398285425371,0.14786027176138328,25.261737842199977,41.36792865946889,6.621883354374495,0.022049577621929235,24.822047528997942,50.0,-0.6724032881389306,-1.1715149310508766
100,control,471567144,41.01565213631883,7.321627126067202,0.4008468963574339,24.45478020964098,42.92845112985751,6.660915438688631,0.020718064242388045,25.765945034370308,50.0,1.9127989935386793,-0.660711687378571
1,treatment,705165378,42.6842951903168,9.397872764713425,0.48539049189996303,25.61576001822263,50.59025632119934,7.204288975331603,0.4195977167747731,30.132651877849817,110.0,7.905961130882538,-2.1935837893818215
2,treatment,277121625,42.84975598394958,7.858663893416162,0.2836417943388487,25.726878555850888,64.06765011605711,12.146269619920991,0.34764715836557497,38.42044909193748,110.0,21.21789413210753,4.287605726504829
3,treatment,780729030,40.72495039564719,8.758985788706903,0.13810440119278072,24.43522789268114,37.47808098189648,8.433942232666283,0.18665702772278292,22.486875872690362,110.0,-3.2468694137507086,-0.32504355604062063
4,treatment,555646960,40.742786452358516,5.656279086069884,0.12032121490378361,24.437884429312987,45.7715461563937,9.117142310130038,0.01443108785624769,27.478483660025397,110.0,5.028759704035181,3.4608632240601542
5,treatment,458915775,37.60495489036683,8.028460260394187,0.34518656050461544,22.55603375086513,47.53332516660268,8.666730119930193,0.27315887151486395,28.55736697744345,110.0,9.928370276235853,0.6382698595360061
6,treatment,505606251,41.614532501392446,10.646736867633253,0.10410285570511163,24.931529841726285,52.82008370473927,10.808345325839783,0.07951765166810765,31.686062743024042,110.0,11.205551203346822,0.1616084582065298
7,treatment,568741195,41.64186352778798,6.62060507037577,0.05763837394799803,25.018987568191573,51.73334426026283,9.141864944944958,0.14384498283471314,31.126053195824223,110.0,10.09148073247485,2.5212598745691874
8,treatment,37262311,37.95111238624742,8.824628966542091,0.48466047174287885,22.73247255167276,54.417951779307636,12.778264654590338,0.01332013108664382,32.6521377014419,110.0,16.46683939306022,3.953635688048246
9,treatment,139796998,37.69726444262426,6.924107513173827,0.21948483184029846,22.595484050339763,57.17811677531979,7.294757025214741,0.19979907622943852,34.2860229016354,110.0,19.480852332695534,0.3706495120409139
10,treatment,245481166,43.288275050521115,11.842406125706084,0.5207728920878396,26.05882146660891,42.61713169085167,10.901741752202268,0.4836146214284267,25.523950666515066,110.0,-0.6711433596694434,-0.9406643735038163
11,treatment,114530073,41.1920091647631,6.518680824222214,0.1720853285597087,24.68866849516592,45.88804924439923,9.954411109876395,0.20682012454983473,27.498925156570262,110.0,4.696040079636127,3.4357302856541807
12,treatment,439613574,44.45026854607157,6.670040255284675,0.08553849358554248,26.657967863945743,73.3117077767757,11.2875831046684,0.43774918897504006,44.0010597100046,110.0,28.861439230704136,4.6175428493837245
13,treatment,668402961,40.04438321466054,8.278339567277962,0.27036035492700183,23.987919622737135,47.510631812952326,6.718476034837717,0.1557630014204066,28.54245158582742,110.0,7.466248598291784,-1.5598635324402457
14,treatment,654428859,41.004715286401705,10.420571288639621,0.13197355432139354,24.606110677889504,56.95021205764354,8.28191735666012,0.025150296129042588,34.151330517598055,110.0,15.945496771241835,-2.1386539319795013
